DopingConcentration(C1(nodnum1_msh)) X,DopingConcentration(C1(nodnum1_msh)) Y
-0.075000003,0
-0.0032630288,0
-0.001739502,0
-3.6174715e-05,0
0,0
0,9.999e+18
0.034165159,8.0908146e+18
0.034890749,8.0502892e+18
0.070759237,6.1694089e+18
0.071520999,6.1294634e+18
0.10738948,4.4783021e+18
0.10815124,4.4432353e+18
0.14401974,3.0872848e+18
0.1447815,3.0584876e+18
0.18064998,2.0168324e+18
0.18141174,1.9947101e+18
0.21728022,1.2461448e+18
0.21804199,1.230247e+18
0.25391045,7.2702399e+17
0.25467223,7.163367e+17
0.29054072,3.9987868e+17
0.2913025,3.9315784e+17
0.32717097,2.0699374e+17
0.32793275,2.0304004e+17
0.36380121,1.0059299e+17
0.36456299,9.8417255e+16
0.40043145,4.5678969e+16
0.40119323,4.455893e+16
0.4370617,1.9162369e+16
0.43782347,1.8623005e+16
0.47369197,7.1824946e+15
0.47445375,6.9395247e+15
0.51032221,2.1185304e+15
0.51108396,2.0161436e+15
0.54695249,1.1573188e+14
0.54771423,7.5371546e+13
0.58358276,-6.2540202e+14
0.58434451,-6.4028483e+14
0.62021297,-8.8201208e+14
0.62097472,-8.8714581e+14
0.65684325,-9.6514505e+14
0.65760499,-9.6680157e+14
0.69347346,-9.9034506e+14
0.69423521,-9.9084507e+14
0.73010373,-9.9749269e+14
0.73086548,-9.9763387e+14
0.766734,-9.9938967e+14
0.76749575,-9.9942695e+14
0.80336422,-9.9986076e+14
0.80412596,-9.9986997e+14
0.8758629,-9.9999191e+14
0.87738645,-9.999945e+14
0.94912344,-9.9999971e+14
0.950647,-9.9999982e+14
1.0941209,-1e+15
1.097168,-1e+15
1.2406418,-1e+15
1.246736,-1e+15
1.3902099,-1e+15
1.5336839,-1e+15
1.5397781,-1e+15
1.683252,-1e+15
1.8267258,-1e+15
1.8328201,-1e+15
1.9762939,-1e+15
2.1197679,-1e+15
2.1258619,-1e+15
2.269336,-1e+15
2.4128098,-1e+15
2.4189038,-1e+15
2.5623779,-1e+15
2.705852,-1e+15
2.711946,-1e+15
2.8554199,-1e+15
2.998894,-1e+15
3.004988,-1e+15
3.1484618,-1e+15
3.2919359,-1e+15
3.2980299,-1e+15
3.441504,-1e+15
3.7284517,-1e+15
3.7345459,-1e+15
4.0214939,-1e+15
4.0275879,-1e+15
4.6014833,-1e+15
4.6136718,-1e+15
5.1936617,-1e+15
5.1997557,-1e+15
5.7797461,-1e+15
5.78584,-1e+15
6.3658299,-1e+15
6.3719239,-1e+15
6.9519138,-1e+15
6.9580078,-1e+15
7.5379977,-1e+15
7.5440917,-1e+15
8.1240816,-1e+15
8.1301756,-1e+15
8.710166,-1e+15
8.71626,-1e+15
9.2962494,-1e+15
9.3023434,-1e+15
9.8823338,-1e+15
9.8884277,-1e+15
10.468418,-1e+15
10.474512,-1e+15
11.054502,-1e+15
11.060596,-1e+15
11.640586,-1e+15
11.64668,-1e+15
12.226669,-1e+15
12.232763,-1e+15
12.812754,-1e+15
12.818848,-1e+15
13.398838,-1e+15
13.404932,-1e+15
13.984921,-1e+15
13.991015,-1e+15
14.571006,-1e+15
14.5771,-1e+15
15.157089,-1e+15
15.163183,-1e+15
15.743174,-1e+15
15.749268,-1e+15
16.329258,-1e+15
16.335352,-1e+15
16.915342,-1e+15
16.921436,-1e+15
17.501425,-1e+15
17.507519,-1e+15
18.087509,-1e+15
18.093603,-1e+15
18.673594,-1e+15
18.679688,-1e+15
19.259678,-1e+15
19.265772,-1e+15
19.845762,-1e+15
19.851856,-1e+15
20.431845,-1e+15
20.437939,-1e+15
21.017929,-1e+15
21.024023,-1e+15
21.604013,-1e+15
21.610107,-1e+15
22.190098,-1e+15
22.196192,-1e+15
22.776182,-1e+15
22.782276,-1e+15
23.362265,-1e+15
23.368359,-1e+15
23.948349,-1e+15
23.954443,-1e+15
24.534433,-1e+15
24.540527,-1e+15
25.120518,-1e+15
25.126612,-1e+15
25.706602,-1e+15
25.712696,-1e+15
26.292685,-1e+15
26.298779,-1e+15
26.878769,-1e+15
26.884863,-1e+15
27.464853,-1e+15
27.470947,-1e+15
28.050938,-1e+15
28.057032,-1e+15
28.637022,-1e+15
28.643116,-1e+15
29.223104,-1e+15
29.229198,-1e+15
29.809189,-1e+15
29.815283,-1e+15
30.395273,-1e+15
30.401367,-1e+15
30.981358,-1e+15
30.987452,-1e+15
31.567442,-1e+15
31.573536,-1e+15
32.153522,-1e+15
32.159618,-1e+15
32.739609,-1e+15
32.745705,-1e+15
33.325691,-1e+15
33.331787,-1e+15
33.911774,-1e+15
33.91787,-1e+15
34.49786,-1e+15
34.503956,-1e+15
35.083942,-1e+15
35.090038,-1e+15
35.670029,-1e+15
35.676125,-1e+15
36.256111,-1e+15
36.262207,-1e+15
36.842194,-1e+15
36.848289,-1e+15
37.42828,-1e+15
37.434376,-1e+15
38.014362,-1e+15
38.020458,-1e+15
38.600449,-1e+15
38.606544,-1e+15
39.186531,-1e+15
39.192627,-1e+15
39.772614,-1e+15
39.778709,-1e+15
40.3587,-1e+15
40.364796,-1e+15
40.944782,-1e+15
40.950878,-1e+15
41.530869,-1e+15
41.536964,-1e+15
42.116951,-1e+15
42.123047,-1e+15
42.703033,-1e+15
42.709129,-1e+15
43.28912,-1e+15
43.295216,-1e+15
43.875202,-1e+15
43.881298,-1e+15
44.461288,-1e+15
44.467384,-1e+15
45.047371,-1e+15
45.053467,-1e+15
45.633453,-1e+15
45.639549,-1e+15
46.21954,-1e+15
46.225636,-1e+15
46.805622,-1e+15
46.811718,-1e+15
47.391708,-1e+15
47.397804,-1e+15
47.977791,-1e+15
47.983887,-1e+15
48.563873,-1e+15
48.569969,-1e+15
49.14996,-1e+15
49.156055,-1e+15
49.736042,-1e+15
49.742138,-1e+15
50.322128,-1e+15
50.328224,-1e+15
50.908211,-1e+15
50.914307,-1e+15
51.494293,-1e+15
51.500389,-1e+15
52.080379,-1e+15
52.086475,-1e+15
52.666462,-1e+15
52.672558,-1e+15
53.252548,-1e+15
53.258644,-1e+15
53.838631,-1e+15
53.844727,-1e+15
54.424713,-1e+15
54.430809,-1e+15
55.010799,-1e+15
55.016895,-1e+15
55.596882,-1e+15
55.602978,-1e+15
56.182968,-1e+15
56.189064,-1e+15
56.769051,-1e+15
56.775146,-1e+15
57.355133,-1e+15
57.361229,-1e+15
57.941219,-1e+15
57.947315,-1e+15
58.527302,-1e+15
58.533398,-1e+15
59.113388,-1e+15
59.119484,-1e+15
59.699471,-1e+15
59.705566,-1e+15
60.285553,-1e+15
60.291649,-1e+15
60.871639,-1e+15
60.877735,-1e+15
61.457722,-1e+15
61.463818,-1e+15
62.043808,-1e+15
62.049904,-1e+15
62.62989,-1e+15
62.635986,-1e+15
63.215973,-1e+15
63.222069,-1e+15
63.802059,-1e+15
63.808155,-1e+15
64.388145,-1e+15
64.394241,-1e+15
64.974228,-1e+15
64.980324,-1e+15
65.56031,-1e+15
65.566406,-1e+15
66.146393,-1e+15
66.152489,-1e+15
66.732475,-1e+15
66.738571,-1e+15
67.318565,-1e+15
67.324661,-1e+15
67.904648,-1e+15
67.910744,-1e+15
68.49073,-1e+15
68.496826,-1e+15
69.076813,-1e+15
69.082909,-1e+15
69.662895,-1e+15
69.668991,-1e+15
70.248985,-1e+15
70.255081,-1e+15
70.835068,-1e+15
70.841164,-1e+15
71.42115,-1e+15
71.427246,-1e+15
72.007233,-1e+15
72.013329,-1e+15
72.593315,-1e+15
72.599411,-1e+15
73.179405,-1e+15
73.185501,-1e+15
73.765488,-1e+15
73.771584,-1e+15
74.35157,-1e+15
74.357666,-1e+15
74.937653,-1e+15
74.943748,-1e+15
75.523735,-1e+15
75.529831,-1e+15
76.109825,-1e+15
76.115921,-1e+15
76.695908,-1e+15
76.702003,-1e+15
77.28199,-1e+15
77.288086,-1e+15
77.868073,-1e+15
77.874168,-1e+15
78.454155,-1e+15
78.460251,-1e+15
79.040245,-1e+15
79.046341,-1e+15
79.626328,-1e+15
79.632423,-1e+15
80.21241,-1e+15
80.218506,-1e+15
80.798492,-1e+15
80.804588,-1e+15
